Title Name,Website,Direction,Title,Address,Phone Number
PROGRAMMERS POINT,http://www.programmerspoint.in/,"https://www.google.com//maps/dir//PROGRAMMERS+POINT,+1st+Floor,+GD+Prime,+Bhawarkua+Main+Rd,+opposite+Petrol+Pump+NEXA+showroom,+Indore,+Madhya+Pradesh+452001/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3962fd3edbca24ed:0xc8f8fbba0fed0cc8?sa=X",PROGRAMMERS POINT,"1st Floor, GD Prime, Bhawarkua Main Rd, opposite Petrol Pump NEXA showroom, Indore, Madhya Pradesh 452001",079742 50782
IIC - Indore Institute of Computers(C/C++) By Shashank Sir,https://www.iicindore.com/,"https://www.google.com//maps/dir//201,+IIC+-+Indore+Institute+of+Computers(C%2FC%2B%2B)+By+Shashank+Sir,+Shri+Balaji+Heights,+5-B,+Gita+Bhawan+Rd,+above+Ashirwad+Bhojnalay,+Rajgarh+Kothi,+Sqr,+Indore,+Madhya+Pradesh+452001/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3962fd1d8a6bffe1:0x660908d5b039373f?sa=X",IIC - Indore Institute of Computers(C/C++) By Shashank Sir,"201, Shri Balaji Heights, 5-B, Gita Bhawan Rd, above Ashirwad Bhojnalay, Rajgarh Kothi, Sqr, Indore, Madhya Pradesh 452001",083700 00690
LIVEWIRE INDORE,https://www.livewireindia.com/master-program-artificial-intelligence.php,"https://www.google.com//maps/dir//LIVEWIRE+INDORE,+%23206,+2nd+Floor,+Fortune+Aura+Business+park+(+Kyro+Building+1,+Gurmeet+Nagar,+Bhanwarkua+Main+Road+Landmark-+Above+Nexa+Car+Showroom,+near+Apple+hospital,+Indore,+Madhya+Pradesh+452014/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3962fd154bf92905:0x82e334880e4e7461?sa=X",LIVEWIRE INDORE,"#206, 2nd Floor, Fortune Aura Business park ( Kyro Building 1, Gurmeet Nagar, Bhanwarkua Main Road Landmark- Above Nexa Car Showroom, near Apple hospital, Indore, Madhya Pradesh 452014",
Universal Informatics,http://www.universalinformatics.com/,"https://www.google.com//maps/dir//Universal+Informatics,+Abhay+Prashal+Building,+B-WING,+Race+Course+Rd,+opp.+IDA+Building,+Indore,+Madhya+Pradesh+452003/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3962fd400a8df843:0x5410c632114a974e?sa=X",Universal Informatics,"Abhay Prashal Building, B-WING, Race Course Rd, opp. IDA Building, Indore, Madhya Pradesh 452003",0731 243 1972
MCU College | TOP College for Msc(Computer sc) | BCA | Bcom(Computer Application ) in Indore,http://www.infozonegroup.in/,"https://www.google.com//maps/dir//MCU+College+%7C+TOP+College+for+Msc(Computer+sc)+%7C+BCA+%7C+Bcom(Computer+Application+)+in+Indore,+2nd+FLOOR+203+ALANKAR+POINT+GEETA+BHAWAN+SUQARE,+AB+Rd,+Indore,+Madhya+Pradesh+452001/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3962fd3bb999c607:0xb1b2a25b9d6da904?sa=X",MCU College | TOP College for Msc(Computer sc) | BCA | Bcom(Computer Application ) in Indore,"2nd FLOOR 203 ALANKAR POINT GEETA BHAWAN SUQARE, AB Rd, Indore, Madhya Pradesh 452001",098260 10276
IOTA ACADEMY | Data Analytics & Placement Training Institute | Best Rated Institute in Indore,http://www.iotaacademy.in/,"https://www.google.com//maps/dir//2nd+Floor,+IOTA+ACADEMY+%7C+Data+Analytics+%26+Placement+Training+Institute+%7C+Best+Rated+Institute+in+Indore,+AB+Rd,+above+Central+Coffee+House,+opp.+Sky+Heights,+Navlakha,+Chouraha,+Indore,+Madhya+Pradesh+452001/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3962fd9ae800644f:0x22eb47a45caf1f4e?sa=X",IOTA ACADEMY | Data Analytics & Placement Training Institute | Best Rated Institute in Indore,"2nd Floor, AB Rd, above Central Coffee House, opp. Sky Heights, Navlakha, Angad Kapoor Region, Chouraha, Indore, Madhya Pradesh 452001",078696 64602
Vidyut Singhai Classes,https://www.infoviaan.com/,"https://www.google.com//maps/dir//21,+Vidyut+Singhai+Classes,+10,+near+G.Sacchanand+Kala+Mandir,+Vijay+Nagar,+Indore,+Madhya+Pradesh+452001/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x396302abdab0a617:0x176dcad1e08b9f72?sa=X",Vidyut Singhai Classes,"21, 10, near G.Sacchanand Kala Mandir, Vijay Nagar, Indore, Madhya Pradesh 452001",093017 70335
"Samyak Classes, Indore",http://www.samyakclasses.com/,"https://www.google.com//maps/dir//Samyak+Classes,+Indore,+104,+2nd+Floor,+Shagun+Tower,+AB+Rd,+above+Apna+Sweets,+Near+C21+Mall,+Near+Vijay+Nagar+Square,+Indore,+Madhya+Pradesh+452010/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3962fda14003335f:0xe1cad42b00acfe23?sa=X","Samyak Classes, Indore","104, 2nd Floor, Shagun Tower, AB Rd, above Apna Sweets, Near C21 Mall, Near Vijay Nagar Square, Indore, Madhya Pradesh 452010",095227 39800
Prestige Point,https://prestigepoint.in/,"https://www.google.com//maps/dir//Prestige+Point,+Rafael+Tower,+403-404,+Greater+Kailash+Road,+Near+Saket+Square,+New+Palasia,+Indore,+Madhya+Pradesh+452001/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3962fd360fa596b5:0x746e43fe47e1c850?sa=X",Prestige Point,"Rafael Tower, 403-404, Greater Kailash Road, Near Saket Square, New Palasia, Indore, Madhya Pradesh 452001",083193 38570
Best Ethical Hacking | Programming Institute in Indore India | Hakimi Infosec,http://hakimiinfosec.com/,"https://www.google.com//maps/dir//Best+Ethical+Hacking+%7C+Programming+Institute+in+Indore+India+%7C+Hakimi+Infosec,+351,+Saifee+Nagar+Main+Rd,+Transport+Nagar,+Indore,+Madhya+Pradesh+452001/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3962fcfc3c43df81:0xfae15f615388056f?sa=X",Best Ethical Hacking | Programming Institute in Indore India | Hakimi Infosec,"351, Saifee Nagar Main Rd, Transport Nagar, Indore, Madhya Pradesh 452001",087180 00520
